Country Name,Female - 2018,Male - 2018,Total - 2018
Brazil,106473081,102996239,209469320
Argentina,22797803,21696699,44494502
Colombia,25290276,24370780,49661056
United States,165118706,161719493,326838199
United Kingdom,33652378,32807966,66460344
United Arab Emirates,2950609,6680357,9630966
Turkey,41728157,40611933,82340090
Norway,2630707,2681209,5311916
Greece,5464776,5268106,10732882
India,649586703,703055580,1352642283
Singapore,2687287,2951389,5638676
Vietnam,47865095,47680864,95545959
China,682854786,719905214,1402760000
Nigeria,96636957,99237728,195874685
South Africa,29297427,28495093,57792520
"Egypt, Arab Rep.",48690128,49733474,98423602
Australia,12541215,12441473,24982688
Israel,4467882,4414918,8882800
